ds_iid,release_slug,party_iid,role_schema,role,role_degree,role_order,notes
mn-peat-inventory,,rl-johnson,credit,investigation,nap,nap,"Credited on the basis of the title-page 'Technical Assistance' acknowledgement for the Koochiching County peat inventory project. No specific Appendix D site record under this name was found to confirm which sites, if any, are attributable to this person's fieldwork; this row rests on the title-page credit alone."
mn-peat-inventory,,hm-koslucher,credit,investigation,nap,nap,"Credited on the basis of the title-page 'Technical Assistance' acknowledgement for the Koochiching County peat inventory project. No specific Appendix D site record under this name was found to confirm which sites, if any, are attributable to this person's fieldwork; this row rests on the title-page credit alone."
mn-peat-inventory,,d-haverkost,credit,investigation,nap,nap,"Recurring field describer/sampler in Appendix D, 1979-1980 (e.g. #105, #126-135, #142-177). No report-authorship or title-page acknowledgement; credited solely for fieldwork. Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,b-sether,credit,investigation,nap,nap,"Field describer/sampler in Appendix D, March 1980 (e.g. #128-132, #143-151). Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,j-dahl,credit,investigation,nap,nap,"Field describer/sampler in Appendix D, March 1980 (e.g. #143-149). Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,b-leuelling,credit,investigation,nap,nap,"Field describer/sampler in Appendix D, September-October 1978 (e.g. #166-177). Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,k-hayner,credit,investigation,nap,nap,"Field describer/sampler in Appendix D, September-October 1978 (e.g. #168-177). Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,b-balen,credit,investigation,nap,nap,"Field describer/sampler in Appendix D, September 1978 (e.g. #166-167). Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,r-wakanabo,credit,investigation,nap,nap,"Field describer/sampler in Appendix D, 1977 (e.g. #6-13, #17-20). Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass. See party notes on inconsistent initial ('R.' vs. 'B.') across source entries."
mn-peat-inventory,,m-domeier,credit,investigation,nap,nap,"Field describer/sampler in Appendix D, September-October 1976 (e.g. #34-38, #42, #48-56, #69-75, #90-100, #103-104). Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,r-fox,credit,investigation,nap,nap,"Field describer/sampler in Appendix D, 1976 (e.g. #43-46, #76-89, #93-94). Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,r-zarth,credit,investigation,nap,nap,"Co-field-describer with R. Fox at Appendix D site #93, September 1976. Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
