party_id,party_iid,type,given_name,middle_name,surname,org_name,email,orcid,organization,notes
a7da6aeb-551c-469d-9336-772c6243afbb,d-haverkost,person,D.,nap,Haverkost,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Recurring field describer/sampler in Appendix D, 1979-1980 (e.g. #105, #126-135, #142-177), typically paired with Mooers, Severson, Olson, Mellem, or Sether. No report-authorship or title-page credit. Only given-name initial available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
34cb8dbc-b79e-44fc-bda3-e64f9ef5ea14,b-sether,person,B.,nap,Sether,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Field describer/sampler in Appendix D, March 1980 (e.g. #128-132, #143-151). Only given-name initial available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
fb2a167d-65a2-4872-840d-396600335b7d,j-dahl,person,J.,nap,Dahl,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Field describer/sampler in Appendix D, March 1980 (e.g. #143-149), paired with Mooers/Sether/Haverkost. Only given-name initial available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
0424836f-4262-4914-a7a3-ebf426196cf7,b-leuelling,person,B.,nap,Leuelling,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Field describer/sampler in Appendix D, September-October 1978 (e.g. #166-177), paired with Mellem, Balen, Malterer, or Hayner. Also named as a co-author of a bibliography citation for a distinct, earlier MPIP report ('Malterer, T. J., D. J. Olson, D. R. Mellem, B. Leuelling, and E. J. Tome. 1979. Sphagnum moss deposits in Minnesota'), not part of this registration. Only given-name initial available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
d26b8ba0-95ad-4002-99fb-3cc742193555,k-hayner,person,K.,nap,Hayner,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Field describer/sampler in Appendix D, September-October 1978 (e.g. #168-177). Only given-name initial available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
2b6a6b54-c5f5-4efc-bda8-3c31770144f8,b-balen,person,B.,nap,Balen,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Field describer/sampler in Appendix D, September 1978 (e.g. #166-167). Only given-name initial available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
1bffda60-2f9e-4d1c-a12e-f9d9810b92ad,r-wakanabo,person,R.,nap,Wakanabo,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Field describer/sampler in Appendix D, 1977 (e.g. #6-13, #17-20), paired with Malterer or Olson. Initial is inconsistent across the source document ('R. Wakanabo' vs. 'B. Wakanabo' in a few entries); treated here as one person pending confirmation, possibly an OCR/transcription variance in the source PDF. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
c4dc033d-28ca-4bfd-bd9d-820fb1352650,m-domeier,person,M.,nap,Domeier,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Field describer/sampler in Appendix D, September-October 1976 (e.g. #34-38, #42, #48-56, #69-75, #90-100, #103-104). Only given-name initial available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
86d6471f-e38c-49fb-b83d-b8a581a7de3c,r-fox,person,R.,nap,Fox,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Field describer/sampler in Appendix D, 1976 (e.g. #43-46, #76-89, #93-94). Also credited in the report's bibliography as co-author (with Malterer and Zarth) of a distinct, earlier MPIP publication ('Fox, R., T. Malterer, and R. Zarth. 1977. Inventory of peat resources in Minnesota: A progress report'), not part of this registration. Only given-name initial available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
a07d6429-5d8d-47e6-8775-3f74bceacc23,r-zarth,person,R.,nap,Zarth,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Co-field-describer with R. Fox at Appendix D site #93, September 1976. Also credited in the same 1977 progress-report bibliography citation as R. Fox (see that party's notes); that earlier publication is not part of this registration. Only given-name initial available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
